,label
mouse1_lib1.final_cell_0001,6
mouse1_lib1.final_cell_0002,4
mouse1_lib1.final_cell_0003,1
mouse1_lib1.final_cell_0004,0
mouse1_lib1.final_cell_0005,1
mouse1_lib1.final_cell_0006,6
mouse1_lib1.final_cell_0007,6
mouse1_lib1.final_cell_0008,6
mouse1_lib1.final_cell_0009,6
mouse1_lib1.final_cell_0010,4
mouse1_lib1.final_cell_0011,4
mouse1_lib1.final_cell_0012,6
mouse1_lib1.final_cell_0013,6
mouse1_lib1.final_cell_0014,1
mouse1_lib1.final_cell_0015,6
mouse1_lib1.final_cell_0016,4
mouse1_lib1.final_cell_0017,6
mouse1_lib1.final_cell_0018,3
mouse1_lib1.final_cell_0019,4
mouse1_lib1.final_cell_0020,4
mouse1_lib1.final_cell_0021,6
mouse1_lib1.final_cell_0022,6
mouse1_lib1.final_cell_0023,6
mouse1_lib1.final_cell_0024,1
mouse1_lib1.final_cell_0025,3
mouse1_lib1.final_cell_0026,2
mouse1_lib1.final_cell_0027,4
mouse1_lib1.final_cell_0028,4
mouse1_lib1.final_cell_0029,6
mouse1_lib1.final_cell_0030,4
mouse1_lib1.final_cell_0031,4
mouse1_lib1.final_cell_0032,4
mouse1_lib1.final_cell_0033,10
mouse1_lib1.final_cell_0034,6
mouse1_lib1.final_cell_0035,6
mouse1_lib1.final_cell_0036,4
mouse1_lib1.final_cell_0037,4
mouse1_lib1.final_cell_0038,4
mouse1_lib1.final_cell_0039,1
mouse1_lib1.final_cell_0040,6
mouse1_lib1.final_cell_0041,6
mouse1_lib1.final_cell_0042,4
mouse1_lib1.final_cell_0043,1
mouse1_lib1.final_cell_0044,2
mouse1_lib1.final_cell_0045,6
mouse1_lib1.final_cell_0046,6
mouse1_lib1.final_cell_0047,5
mouse1_lib1.final_cell_0048,4
mouse1_lib1.final_cell_0049,6
mouse1_lib1.final_cell_0050,4
mouse1_lib1.final_cell_0051,10
mouse1_lib1.final_cell_0052,6
mouse1_lib1.final_cell_0053,4
mouse1_lib1.final_cell_0054,4
mouse1_lib1.final_cell_0055,4
mouse1_lib1.final_cell_0056,6
mouse1_lib1.final_cell_0057,4
mouse1_lib1.final_cell_0058,2
mouse1_lib1.final_cell_0059,4
mouse1_lib1.final_cell_0060,6
mouse1_lib1.final_cell_0061,6
mouse1_lib1.final_cell_0062,4
mouse1_lib1.final_cell_0063,4
mouse1_lib1.final_cell_0064,2
mouse1_lib1.final_cell_0065,6
mouse1_lib1.final_cell_0066,6
mouse1_lib1.final_cell_0067,4
mouse1_lib1.final_cell_0068,6
mouse1_lib1.final_cell_0069,2
mouse1_lib1.final_cell_0070,4
mouse1_lib1.final_cell_0071,6
mouse1_lib1.final_cell_0072,6
mouse1_lib1.final_cell_0073,2
mouse1_lib1.final_cell_0074,6
mouse1_lib1.final_cell_0075,6
mouse1_lib1.final_cell_0076,4
mouse1_lib1.final_cell_0077,6
mouse1_lib1.final_cell_0078,4
mouse1_lib1.final_cell_0079,3
mouse1_lib1.final_cell_0080,6
mouse1_lib1.final_cell_0081,4
mouse1_lib1.final_cell_0082,4
mouse1_lib1.final_cell_0083,1
mouse1_lib1.final_cell_0084,5
mouse1_lib1.final_cell_0085,4
mouse1_lib1.final_cell_0086,6
mouse1_lib1.final_cell_0087,4
mouse1_lib1.final_cell_0088,4
mouse1_lib1.final_cell_0089,6
mouse1_lib1.final_cell_0090,4
mouse1_lib1.final_cell_0091,1
mouse1_lib1.final_cell_0092,2
mouse1_lib1.final_cell_0093,6
mouse1_lib1.final_cell_0094,6
mouse1_lib1.final_cell_0095,4
mouse1_lib1.final_cell_0096,1
mouse1_lib1.final_cell_0097,6
mouse1_lib1.final_cell_0098,4
mouse1_lib1.final_cell_0099,4
mouse1_lib1.final_cell_0100,2
mouse1_lib1.final_cell_0101,6
mouse1_lib1.final_cell_0102,2
mouse1_lib1.final_cell_0103,6
mouse1_lib1.final_cell_0104,4
mouse1_lib1.final_cell_0105,3
mouse1_lib1.final_cell_0106,6
mouse1_lib1.final_cell_0107,3
mouse1_lib1.final_cell_0108,6
mouse1_lib1.final_cell_0109,6
mouse1_lib1.final_cell_0110,3
mouse1_lib1.final_cell_0111,1
mouse1_lib1.final_cell_0112,7
mouse1_lib1.final_cell_0113,6
mouse1_lib1.final_cell_0114,6
mouse1_lib1.final_cell_0115,2
mouse1_lib1.final_cell_0116,7
mouse1_lib1.final_cell_0117,6
mouse1_lib1.final_cell_0118,6
mouse1_lib1.final_cell_0119,6
mouse1_lib1.final_cell_0120,2
mouse1_lib1.final_cell_0121,6
mouse1_lib1.final_cell_0122,1
mouse1_lib1.final_cell_0123,6
mouse1_lib1.final_cell_0124,7
mouse1_lib1.final_cell_0125,6
mouse1_lib1.final_cell_0126,3
mouse1_lib1.final_cell_0127,4
mouse1_lib1.final_cell_0128,6
mouse1_lib1.final_cell_0129,6
mouse1_lib1.final_cell_0130,6
mouse1_lib1.final_cell_0131,6
mouse1_lib1.final_cell_0132,6
mouse1_lib1.final_cell_0133,4
mouse1_lib1.final_cell_0134,6
mouse1_lib1.final_cell_0135,4
mouse1_lib1.final_cell_0136,1
mouse1_lib1.final_cell_0137,6
mouse1_lib1.final_cell_0138,6
mouse1_lib1.final_cell_0139,5
mouse1_lib1.final_cell_0140,4
mouse1_lib1.final_cell_0141,6
mouse1_lib1.final_cell_0142,6
mouse1_lib1.final_cell_0143,6
mouse1_lib1.final_cell_0144,6
mouse1_lib1.final_cell_0145,2
mouse1_lib1.final_cell_0146,1
mouse1_lib1.final_cell_0147,6
mouse1_lib1.final_cell_0148,6
mouse1_lib1.final_cell_0149,6
mouse1_lib1.final_cell_0150,6
mouse1_lib1.final_cell_0151,4
mouse1_lib1.final_cell_0152,6
mouse1_lib1.final_cell_0153,4
mouse1_lib1.final_cell_0154,6
mouse1_lib1.final_cell_0155,4
mouse1_lib1.final_cell_0156,1
mouse1_lib1.final_cell_0157,2
mouse1_lib1.final_cell_0158,6
mouse1_lib1.final_cell_0159,4
mouse1_lib1.final_cell_0160,7
mouse1_lib1.final_cell_0161,1
mouse1_lib1.final_cell_0163,6
mouse1_lib1.final_cell_0164,6
mouse1_lib1.final_cell_0165,4
mouse1_lib1.final_cell_0166,1
mouse1_lib1.final_cell_0167,10
mouse1_lib1.final_cell_0168,6
mouse1_lib1.final_cell_0169,6
mouse1_lib1.final_cell_0170,6
mouse1_lib1.final_cell_0171,6
mouse1_lib1.final_cell_0172,6
mouse1_lib1.final_cell_0173,6
mouse1_lib1.final_cell_0174,6
mouse1_lib1.final_cell_0175,4
mouse1_lib1.final_cell_0176,4
mouse1_lib1.final_cell_0177,6
mouse1_lib1.final_cell_0178,4
mouse1_lib1.final_cell_0179,6
mouse1_lib1.final_cell_0180,6
mouse1_lib1.final_cell_0181,6
mouse1_lib1.final_cell_0182,2
mouse1_lib1.final_cell_0183,4
mouse1_lib1.final_cell_0184,4
mouse1_lib1.final_cell_0185,4
mouse1_lib1.final_cell_0186,6
mouse1_lib1.final_cell_0187,2
mouse1_lib1.final_cell_0188,2
mouse1_lib1.final_cell_0189,10
mouse1_lib1.final_cell_0190,6
mouse1_lib1.final_cell_0191,6
mouse1_lib1.final_cell_0192,4
mouse1_lib1.final_cell_0193,4
mouse1_lib1.final_cell_0194,4
mouse1_lib1.final_cell_0195,3
mouse1_lib1.final_cell_0196,6
mouse1_lib1.final_cell_0197,6
mouse1_lib1.final_cell_0198,6
mouse1_lib1.final_cell_0199,6
mouse1_lib1.final_cell_0200,4
mouse1_lib1.final_cell_0201,4
mouse1_lib1.final_cell_0202,4
mouse1_lib1.final_cell_0203,2
mouse1_lib1.final_cell_0204,2
mouse1_lib1.final_cell_0205,1
mouse1_lib1.final_cell_0206,6
mouse1_lib1.final_cell_0207,3
mouse1_lib1.final_cell_0208,2
mouse1_lib1.final_cell_0209,6
mouse1_lib1.final_cell_0210,4
mouse1_lib1.final_cell_0211,6
mouse1_lib1.final_cell_0212,1
mouse1_lib1.final_cell_0213,6
mouse1_lib1.final_cell_0214,6
mouse1_lib1.final_cell_0215,4
mouse1_lib1.final_cell_0216,6
mouse1_lib1.final_cell_0217,1
mouse1_lib1.final_cell_0218,6
mouse1_lib1.final_cell_0219,6
mouse1_lib1.final_cell_0220,1
mouse1_lib1.final_cell_0221,4
mouse1_lib1.final_cell_0222,8
mouse1_lib1.final_cell_0223,6
mouse1_lib1.final_cell_0224,6
mouse1_lib1.final_cell_0225,1
mouse1_lib1.final_cell_0226,1
mouse1_lib1.final_cell_0227,4
mouse1_lib1.final_cell_0228,10
mouse1_lib1.final_cell_0229,6
mouse1_lib1.final_cell_0230,6
mouse1_lib1.final_cell_0231,10
mouse1_lib1.final_cell_0232,4
mouse1_lib1.final_cell_0233,2
mouse1_lib1.final_cell_0234,3
mouse1_lib1.final_cell_0235,2
mouse1_lib1.final_cell_0236,4
mouse1_lib1.final_cell_0237,3
mouse1_lib1.final_cell_0238,4
mouse1_lib1.final_cell_0239,4
mouse1_lib1.final_cell_0240,6
mouse1_lib1.final_cell_0241,6
mouse1_lib1.final_cell_0242,1
mouse1_lib1.final_cell_0243,6
mouse1_lib1.final_cell_0244,4
mouse1_lib1.final_cell_0245,1
mouse1_lib1.final_cell_0246,1
mouse1_lib1.final_cell_0247,6
mouse1_lib1.final_cell_0248,6
mouse1_lib1.final_cell_0249,4
mouse1_lib1.final_cell_0250,4
mouse1_lib1.final_cell_0251,2
mouse1_lib1.final_cell_0252,6
mouse1_lib1.final_cell_0253,3
mouse1_lib1.final_cell_0254,1
mouse1_lib1.final_cell_0255,4
mouse1_lib1.final_cell_0256,4
mouse1_lib1.final_cell_0257,6
mouse1_lib1.final_cell_0258,4
mouse1_lib1.final_cell_0259,6
mouse1_lib1.final_cell_0260,4
mouse1_lib1.final_cell_0261,4
mouse1_lib1.final_cell_0262,4
mouse1_lib1.final_cell_0264,4
mouse1_lib1.final_cell_0265,9
mouse1_lib1.final_cell_0266,4
mouse1_lib1.final_cell_0267,4
mouse1_lib1.final_cell_0268,6
mouse1_lib1.final_cell_0269,4
mouse1_lib1.final_cell_0270,6
mouse1_lib1.final_cell_0271,4
mouse1_lib1.final_cell_0272,4
mouse1_lib1.final_cell_0273,4
mouse1_lib1.final_cell_0274,4
mouse1_lib1.final_cell_0275,2
mouse1_lib1.final_cell_0276,2
mouse1_lib1.final_cell_0277,4
mouse1_lib2.final_cell_0001,6
mouse1_lib2.final_cell_0002,0
mouse1_lib2.final_cell_0003,1
mouse1_lib2.final_cell_0004,5
mouse1_lib2.final_cell_0005,6
mouse1_lib2.final_cell_0006,6
mouse1_lib2.final_cell_0007,4
mouse1_lib2.final_cell_0008,6
mouse1_lib2.final_cell_0009,5
mouse1_lib2.final_cell_0010,0
mouse1_lib2.final_cell_0011,4
mouse1_lib2.final_cell_0012,4
mouse1_lib2.final_cell_0013,4
mouse1_lib2.final_cell_0014,3
mouse1_lib2.final_cell_0015,6
mouse1_lib2.final_cell_0016,4
mouse1_lib2.final_cell_0017,4
mouse1_lib2.final_cell_0018,2
mouse1_lib2.final_cell_0019,6
mouse1_lib2.final_cell_0020,4
mouse1_lib2.final_cell_0021,4
mouse1_lib2.final_cell_0022,4
mouse1_lib2.final_cell_0023,4
mouse1_lib2.final_cell_0024,4
mouse1_lib2.final_cell_0025,6
mouse1_lib2.final_cell_0026,4
mouse1_lib2.final_cell_0027,4
mouse1_lib2.final_cell_0028,4
mouse1_lib2.final_cell_0029,4
mouse1_lib2.final_cell_0030,4
mouse1_lib2.final_cell_0031,2
mouse1_lib2.final_cell_0032,6
mouse1_lib2.final_cell_0033,6
mouse1_lib2.final_cell_0034,6
mouse1_lib2.final_cell_0035,2
mouse1_lib2.final_cell_0036,4
mouse1_lib2.final_cell_0037,6
mouse1_lib2.final_cell_0038,6
mouse1_lib2.final_cell_0039,6
mouse1_lib2.final_cell_0040,4
mouse1_lib2.final_cell_0041,6
mouse1_lib2.final_cell_0042,6
mouse1_lib2.final_cell_0043,4
mouse1_lib2.final_cell_0044,6
mouse1_lib2.final_cell_0045,4
mouse1_lib2.final_cell_0046,2
mouse1_lib2.final_cell_0047,4
mouse1_lib2.final_cell_0048,2
mouse1_lib2.final_cell_0049,6
mouse1_lib2.final_cell_0050,2
mouse1_lib2.final_cell_0051,4
mouse1_lib2.final_cell_0052,4
mouse1_lib2.final_cell_0053,6
mouse1_lib2.final_cell_0054,4
mouse1_lib2.final_cell_0055,2
mouse1_lib2.final_cell_0056,2
mouse1_lib2.final_cell_0058,6
mouse1_lib2.final_cell_0059,4
mouse1_lib2.final_cell_0060,6
mouse1_lib2.final_cell_0061,6
mouse1_lib2.final_cell_0062,6
mouse1_lib2.final_cell_0063,6
mouse1_lib2.final_cell_0064,1
mouse1_lib2.final_cell_0065,6
mouse1_lib2.final_cell_0066,4
mouse1_lib2.final_cell_0067,6
mouse1_lib2.final_cell_0068,4
mouse1_lib2.final_cell_0069,2
mouse1_lib2.final_cell_0070,6
mouse1_lib2.final_cell_0071,4
mouse1_lib2.final_cell_0072,4
mouse1_lib2.final_cell_0073,6
mouse1_lib2.final_cell_0074,6
mouse1_lib2.final_cell_0075,6
mouse1_lib2.final_cell_0076,6
mouse1_lib2.final_cell_0077,4
mouse1_lib2.final_cell_0078,2
mouse1_lib2.final_cell_0079,7
mouse1_lib2.final_cell_0080,6
mouse1_lib2.final_cell_0081,4
mouse1_lib2.final_cell_0082,6
mouse1_lib2.final_cell_0083,4
mouse1_lib2.final_cell_0084,6
mouse1_lib2.final_cell_0085,6
mouse1_lib2.final_cell_0086,1
mouse1_lib2.final_cell_0087,6
mouse1_lib2.final_cell_0088,7
mouse1_lib2.final_cell_0089,6
mouse1_lib2.final_cell_0090,6
mouse1_lib2.final_cell_0091,6
mouse1_lib2.final_cell_0092,6
mouse1_lib2.final_cell_0093,3
mouse1_lib2.final_cell_0094,6
mouse1_lib2.final_cell_0095,2
mouse1_lib2.final_cell_0096,6
mouse1_lib2.final_cell_0097,6
mouse1_lib2.final_cell_0098,6
mouse1_lib2.final_cell_0099,7
mouse1_lib2.final_cell_0100,4
mouse1_lib2.final_cell_0101,6
mouse1_lib2.final_cell_0102,2
mouse1_lib2.final_cell_0103,6
mouse1_lib2.final_cell_0104,6
mouse1_lib2.final_cell_0105,1
mouse1_lib2.final_cell_0106,7
mouse1_lib2.final_cell_0107,4
mouse1_lib2.final_cell_0108,6
mouse1_lib2.final_cell_0109,6
mouse1_lib2.final_cell_0110,4
mouse1_lib2.final_cell_0111,6
mouse1_lib2.final_cell_0112,6
mouse1_lib2.final_cell_0113,1
mouse1_lib2.final_cell_0114,3
mouse1_lib2.final_cell_0115,6
mouse1_lib2.final_cell_0116,6
mouse1_lib2.final_cell_0117,4
mouse1_lib2.final_cell_0118,6
mouse1_lib2.final_cell_0119,2
mouse1_lib2.final_cell_0120,6
mouse1_lib2.final_cell_0121,1
mouse1_lib2.final_cell_0122,6
mouse1_lib2.final_cell_0123,1
mouse1_lib2.final_cell_0124,2
mouse1_lib2.final_cell_0125,6
mouse1_lib2.final_cell_0126,6
mouse1_lib2.final_cell_0127,4
mouse1_lib2.final_cell_0128,10
mouse1_lib2.final_cell_0129,10
mouse1_lib2.final_cell_0130,4
mouse1_lib2.final_cell_0131,6
mouse1_lib2.final_cell_0132,2
mouse1_lib2.final_cell_0133,6
mouse1_lib2.final_cell_0134,6
mouse1_lib2.final_cell_0135,1
mouse1_lib2.final_cell_0136,4
mouse1_lib2.final_cell_0137,6
mouse1_lib2.final_cell_0138,1
mouse1_lib2.final_cell_0139,2
mouse1_lib2.final_cell_0140,10
mouse1_lib2.final_cell_0141,4
mouse1_lib2.final_cell_0142,7
mouse1_lib2.final_cell_0143,3
mouse1_lib2.final_cell_0144,4
mouse1_lib2.final_cell_0145,6
mouse1_lib2.final_cell_0146,6
mouse1_lib2.final_cell_0147,6
mouse1_lib2.final_cell_0148,6
mouse1_lib2.final_cell_0149,6
mouse1_lib2.final_cell_0150,1
mouse1_lib2.final_cell_0151,4
mouse1_lib2.final_cell_0152,6
mouse1_lib2.final_cell_0153,4
mouse1_lib2.final_cell_0154,1
mouse1_lib2.final_cell_0155,1
mouse1_lib2.final_cell_0156,6
mouse1_lib2.final_cell_0157,6
mouse1_lib2.final_cell_0158,2
mouse1_lib2.final_cell_0159,6
mouse1_lib2.final_cell_0160,1
mouse1_lib2.final_cell_0161,6
mouse1_lib2.final_cell_0162,1
mouse1_lib2.final_cell_0163,6
mouse1_lib2.final_cell_0164,5
mouse1_lib2.final_cell_0165,4
mouse1_lib2.final_cell_0166,6
mouse1_lib2.final_cell_0167,3
mouse1_lib2.final_cell_0168,4
mouse1_lib2.final_cell_0169,6
mouse1_lib2.final_cell_0170,2
mouse1_lib2.final_cell_0171,4
mouse1_lib2.final_cell_0172,6
mouse1_lib2.final_cell_0173,6
mouse1_lib2.final_cell_0174,6
mouse1_lib2.final_cell_0175,6
mouse1_lib2.final_cell_0176,6
mouse1_lib2.final_cell_0177,6
mouse1_lib2.final_cell_0178,6
mouse1_lib2.final_cell_0179,2
mouse1_lib2.final_cell_0180,6
mouse1_lib2.final_cell_0181,4
mouse1_lib2.final_cell_0182,6
mouse1_lib2.final_cell_0183,2
mouse1_lib2.final_cell_0184,6
mouse1_lib2.final_cell_0185,6
mouse1_lib2.final_cell_0186,7
mouse1_lib2.final_cell_0187,6
mouse1_lib2.final_cell_0188,1
mouse1_lib2.final_cell_0189,6
mouse1_lib2.final_cell_0190,6
mouse1_lib2.final_cell_0191,6
mouse1_lib2.final_cell_0192,6
mouse1_lib2.final_cell_0193,6
mouse1_lib2.final_cell_0194,4
mouse1_lib2.final_cell_0195,6
mouse1_lib2.final_cell_0196,6
mouse1_lib2.final_cell_0197,6
mouse1_lib2.final_cell_0198,10
mouse1_lib2.final_cell_0199,6
mouse1_lib2.final_cell_0200,2
mouse1_lib2.final_cell_0201,7
mouse1_lib2.final_cell_0202,2
mouse1_lib2.final_cell_0203,6
mouse1_lib2.final_cell_0204,6
mouse1_lib2.final_cell_0205,4
mouse1_lib2.final_cell_0206,2
mouse1_lib2.final_cell_0207,6
mouse1_lib2.final_cell_0208,6
mouse1_lib2.final_cell_0209,6
mouse1_lib2.final_cell_0210,1
mouse1_lib2.final_cell_0211,6
mouse1_lib2.final_cell_0212,3
mouse1_lib2.final_cell_0213,1
mouse1_lib2.final_cell_0214,6
mouse1_lib2.final_cell_0215,6
mouse1_lib2.final_cell_0216,6
mouse1_lib2.final_cell_0217,3
mouse1_lib2.final_cell_0218,1
mouse1_lib2.final_cell_0219,4
mouse1_lib2.final_cell_0220,4
mouse1_lib2.final_cell_0221,6
mouse1_lib2.final_cell_0222,6
mouse1_lib2.final_cell_0223,2
mouse1_lib2.final_cell_0224,6
mouse1_lib2.final_cell_0225,6
mouse1_lib2.final_cell_0226,1
mouse1_lib2.final_cell_0227,3
mouse1_lib2.final_cell_0228,10
mouse1_lib2.final_cell_0229,1
mouse1_lib2.final_cell_0230,6
mouse1_lib2.final_cell_0231,1
mouse1_lib2.final_cell_0232,6
mouse1_lib2.final_cell_0233,4
mouse1_lib2.final_cell_0234,4
mouse1_lib2.final_cell_0235,6
mouse1_lib2.final_cell_0236,6
mouse1_lib2.final_cell_0237,1
mouse1_lib2.final_cell_0238,6
mouse1_lib2.final_cell_0239,2
mouse1_lib2.final_cell_0240,1
mouse1_lib2.final_cell_0241,1
mouse1_lib2.final_cell_0242,6
mouse1_lib2.final_cell_0243,1
mouse1_lib2.final_cell_0244,5
mouse1_lib2.final_cell_0245,3
mouse1_lib2.final_cell_0246,6
mouse1_lib2.final_cell_0247,10
mouse1_lib2.final_cell_0248,2
mouse1_lib2.final_cell_0249,1
mouse1_lib2.final_cell_0250,4
mouse1_lib2.final_cell_0251,4
mouse1_lib2.final_cell_0252,6
mouse1_lib2.final_cell_0253,1
mouse1_lib2.final_cell_0254,6
mouse1_lib2.final_cell_0255,1
mouse1_lib2.final_cell_0256,6
mouse1_lib2.final_cell_0257,4
mouse1_lib2.final_cell_0258,2
mouse1_lib2.final_cell_0259,2
mouse1_lib2.final_cell_0260,4
mouse1_lib2.final_cell_0261,5
mouse1_lib2.final_cell_0262,1
mouse1_lib2.final_cell_0263,1
mouse1_lib2.final_cell_0264,6
mouse1_lib2.final_cell_0265,6
mouse1_lib2.final_cell_0266,2
mouse1_lib2.final_cell_0267,6
mouse1_lib2.final_cell_0268,6
mouse1_lib2.final_cell_0269,8
mouse1_lib2.final_cell_0270,1
mouse1_lib2.final_cell_0271,4
mouse1_lib2.final_cell_0272,7
mouse1_lib2.final_cell_0273,6
mouse1_lib2.final_cell_0274,1
mouse1_lib2.final_cell_0275,6
mouse1_lib2.final_cell_0276,6
mouse1_lib2.final_cell_0277,6
mouse1_lib2.final_cell_0278,6
mouse1_lib2.final_cell_0279,4
mouse1_lib2.final_cell_0280,4
mouse1_lib2.final_cell_0281,4
mouse1_lib2.final_cell_0282,4
mouse1_lib2.final_cell_0283,4
mouse1_lib2.final_cell_0284,4
mouse1_lib2.final_cell_0285,4
mouse1_lib2.final_cell_0286,4
mouse1_lib2.final_cell_0287,3
mouse1_lib2.final_cell_0288,1
mouse1_lib2.final_cell_0289,2
mouse1_lib2.final_cell_0290,4
mouse1_lib2.final_cell_0291,2
mouse1_lib3.final_cell_0001,6
mouse1_lib3.final_cell_0002,6
mouse1_lib3.final_cell_0003,4
mouse1_lib3.final_cell_0004,1
mouse1_lib3.final_cell_0005,5
mouse1_lib3.final_cell_0006,2
mouse1_lib3.final_cell_0007,6
mouse1_lib3.final_cell_0008,4
mouse1_lib3.final_cell_0009,6
mouse1_lib3.final_cell_0010,4
mouse1_lib3.final_cell_0011,4
mouse1_lib3.final_cell_0012,4
mouse1_lib3.final_cell_0013,4
mouse1_lib3.final_cell_0014,4
mouse1_lib3.final_cell_0015,4
mouse1_lib3.final_cell_0016,4
mouse1_lib3.final_cell_0017,4
mouse1_lib3.final_cell_0018,6
mouse1_lib3.final_cell_0019,4
mouse1_lib3.final_cell_0020,10
mouse1_lib3.final_cell_0021,1
mouse1_lib3.final_cell_0022,6
mouse1_lib3.final_cell_0023,6
mouse1_lib3.final_cell_0024,1
mouse1_lib3.final_cell_0025,4
mouse1_lib3.final_cell_0026,1
mouse1_lib3.final_cell_0027,3
mouse1_lib3.final_cell_0028,4
mouse1_lib3.final_cell_0029,4
mouse1_lib3.final_cell_0030,2
mouse1_lib3.final_cell_0031,4
mouse1_lib3.final_cell_0032,6
mouse1_lib3.final_cell_0033,4
mouse1_lib3.final_cell_0034,4
mouse1_lib3.final_cell_0035,4
mouse1_lib3.final_cell_0036,4
mouse1_lib3.final_cell_0037,4
mouse1_lib3.final_cell_0038,1
mouse1_lib3.final_cell_0039,6
mouse1_lib3.final_cell_0040,6
mouse1_lib3.final_cell_0041,4
mouse1_lib3.final_cell_0042,2
mouse1_lib3.final_cell_0043,2
mouse1_lib3.final_cell_0044,1
mouse1_lib3.final_cell_0045,1
mouse1_lib3.final_cell_0046,4
mouse1_lib3.final_cell_0047,6
mouse1_lib3.final_cell_0048,6
mouse1_lib3.final_cell_0049,6
mouse1_lib3.final_cell_0050,1
mouse1_lib3.final_cell_0051,6
mouse1_lib3.final_cell_0052,6
mouse1_lib3.final_cell_0053,6
mouse1_lib3.final_cell_0054,2
mouse1_lib3.final_cell_0055,2
mouse1_lib3.final_cell_0056,4
